analysis,chr,gwaa_hit_bp,gene_start_bp,gene_end_bp,gene_id,gene_name,gene_biotype
"GxE meta-analysis, day length",25,33468334,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33473370,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33473984,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33475367,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33476856,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33478120,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33480294,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33481343,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33485569,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33486436,33446069,33447713,ENSBTAG00000014810,TMEM270,protein_coding
"GxE meta-analysis, day length",25,33468334,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33473370,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33473984,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33475367,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33476856,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33478120,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33480294,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33481343,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33485569,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33486436,33463620,33464838,ENSBTAG00000051532,,protein_coding
"GxE meta-analysis, day length",25,33468334,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33473370,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33473984,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33475367,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33476856,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33478120,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33480294,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33481343,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33485569,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33486436,33472201,33476894,ENSBTAG00000001374,METTL27,protein_coding
"GxE meta-analysis, day length",25,33468334,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33473370,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33473984,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33475367,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33476856,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33478120,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33480294,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33481343,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33485569,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33486436,33477756,33479301,ENSBTAG00000026278,CLDN4,protein_coding
"GxE meta-analysis, day length",25,33468334,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33473370,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33473984,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33475367,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33476856,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33478120,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33480294,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33481343,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33485569,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33486436,33507968,33509181,ENSBTAG00000040432,CLDN3,protein_coding
"GxE meta-analysis, day length",25,33481343,33530965,33533374,ENSBTAG00000010339,ABHD11,protein_coding
"GxE meta-analysis, day length",25,33485569,33530965,33533374,ENSBTAG00000010339,ABHD11,protein_coding
"GxE meta-analysis, day length",25,33486436,33530965,33533374,ENSBTAG00000010339,ABHD11,protein_coding
"GxE meta-analysis, day length",25,33669051,33613971,33632441,ENSBTAG00000009153,MLXIPL,protein_coding
"GxE meta-analysis, day length",25,33669051,33639559,33645465,ENSBTAG00000000321,TBL2,protein_coding
"GxE meta-analysis, day length",25,33669051,33651490,33669383,ENSBTAG00000020544,BCL7B,protein_coding
"GxE meta-analysis, day length",25,33669051,33673612,33729479,ENSBTAG00000005197,BAZ1B,protein_coding
"GxE meta-analysis, day length",25,33759601,33673612,33729479,ENSBTAG00000005197,BAZ1B,protein_coding
"GxE meta-analysis, day length",25,33669051,33715107,33715255,ENSBTAG00000044552,7SK,misc_RNA
"GxE meta-analysis, day length",25,33759601,33715107,33715255,ENSBTAG00000044552,7SK,misc_RNA
"GxE meta-analysis, day length",25,33759601,33728953,33736376,ENSBTAG00000051341,FZD9,protein_coding
"GxE meta-analysis, day length",25,33759601,33778901,33800968,ENSBTAG00000002253,FKBP6,protein_coding
"GxE meta-analysis, day length",25,33759601,33808726,33816136,ENSBTAG00000005798,TRIM50,protein_coding
"GxE meta-analysis, day length",25,34042946,33881985,34015826,ENSBTAG00000000781,HIP1,protein_coding
"GxE meta-analysis, day length",25,34042946,34038531,34043143,ENSBTAG00000052510,CCL26,protein_coding
"GxE meta-analysis, day length",25,34042946,34065905,34069221,ENSBTAG00000026275,CCL24,protein_coding
"GxE meta-analysis, day length",26,23158206,23107885,23250604,ENSBTAG00000021068,SUFU,protein_coding
"GxE meta-analysis, day length",27,35929590,35579543,35955896,ENSBTAG00000017420,ZMAT4,protein_coding
"GxE meta-analysis, day length",27,35942863,35579543,35955896,ENSBTAG00000017420,ZMAT4,protein_coding
"GxE meta-analysis, day length",27,35946727,35579543,35955896,ENSBTAG00000017420,ZMAT4,protein_coding
"GxE meta-analysis, day length",27,35947606,35579543,35955896,ENSBTAG00000017420,ZMAT4,protein_coding
"GxE meta-analysis, day length",27,35948640,35579543,35955896,ENSBTAG00000017420,ZMAT4,protein_coding
"GxE meta-analysis, day length",27,35949771,35579543,35955896,ENSBTAG00000017420,ZMAT4,protein_coding
"GxE meta-analysis, day length",27,35950731,35579543,35955896,ENSBTAG00000017420,ZMAT4,protein_coding
"GxE meta-analysis, day length",27,35960002,35579543,35955896,ENSBTAG00000017420,ZMAT4,protein_coding
"GxE meta-analysis, day length",27,37244518,37192520,37217387,ENSBTAG00000000225,POLB,protein_coding
"GxE meta-analysis, day length",27,37244518,37218555,37221940,ENSBTAG00000000226,DKK4,protein_coding
"GxE meta-analysis, day length",27,37244518,37235271,37246636,ENSBTAG00000014068,VDAC3,protein_coding
"GxE meta-analysis, day length",27,37244518,37252190,37363184,ENSBTAG00000014861,SLC20A2,protein_coding
"GxE meta-analysis, day length",27,37725521,37703749,37727639,ENSBTAG00000003201,FNTA,protein_coding
"GxE meta-analysis, day length",27,37725521,37734906,37749415,ENSBTAG00000003649,POMK,protein_coding
"GxE meta-analysis, day length",27,37725521,37757054,37790179,ENSBTAG00000033182,HGSNAT,protein_coding
"GxE meta-analysis, day length",27,38439937,38463380,38464981,ENSBTAG00000051902,,protein_coding
"GxE meta-analysis, day length",27,38450663,38463380,38464981,ENSBTAG00000051902,,protein_coding
"GxE meta-analysis, day length",27,38642434,38533613,38950549,ENSBTAG00000033137,PSD3,protein_coding
"GxE meta-analysis, day length",27,38647170,38533613,38950549,ENSBTAG00000033137,PSD3,protein_coding
"GxE meta-analysis, day length",27,38664453,38533613,38950549,ENSBTAG00000033137,PSD3,protein_coding
"GxE meta-analysis, day length",28,18095416,17916578,18109450,ENSBTAG00000051333,ARID5B,protein_coding
"GxE meta-analysis, day length",28,29742793,29682252,29697213,ENSBTAG00000012657,ZSWIM8,protein_coding
"GxE meta-analysis, day length",28,29742793,29696608,29705236,ENSBTAG00000012664,NDST2,protein_coding
"GxE meta-analysis, day length",28,29742793,29705563,29761013,ENSBTAG00000012667,CAMK2G,protein_coding
"GxE meta-analysis, day length",28,29742793,29791112,29799836,ENSBTAG00000005947,PLAU,protein_coding
"GxE meta-analysis, day length",28,32921830,32616314,33387186,ENSBTAG00000013300,KCNMA1,protein_coding
"GxE meta-analysis, day length",29,17443111,16813276,17402612,ENSBTAG00000007439,TENM4,protein_coding
"GxE meta-analysis, day length",29,17443111,17406353,17422378,ENSBTAG00000040202,,protein_coding
"GxE meta-analysis, day length",29,17443111,17454198,17591609,ENSBTAG00000039943,NARS2,protein_coding
"GxE meta-analysis, day length",29,29420905,29322677,29419487,ENSBTAG00000009315,CDON,protein_coding
"GxE meta-analysis, day length",29,29435177,29322677,29419487,ENSBTAG00000009315,CDON,protein_coding
"GxE meta-analysis, temperature",29,32246735,32214439,32244810,ENSBTAG00000000008,KCNJ1,protein_coding
"GxE meta-analysis, temperature",29,32246735,32262390,32290687,ENSBTAG00000006902,KCNJ5,protein_coding
"GxE meta-analysis, day length",3,1034522,915375,997233,ENSBTAG00000002823,MPZL1,protein_coding
"GxE meta-analysis, day length",3,1034522,1011191,1083046,ENSBTAG00000014151,RCSD1,protein_coding
"GxE meta-analysis, day length",3,3277549,3220577,3249677,ENSBTAG00000017852,ALDH9A1,protein_coding
"GxE meta-analysis, day length",3,3280281,3220577,3249677,ENSBTAG00000017852,ALDH9A1,protein_coding
"GxE meta-analysis, day length",3,3286169,3220577,3249677,ENSBTAG00000017852,ALDH9A1,protein_coding
"GxE meta-analysis, day length",3,3286737,3220577,3249677,ENSBTAG00000017852,ALDH9A1,protein_coding
"GxE meta-analysis, day length",3,3277549,3264993,3288716,ENSBTAG00000010265,MGST3,protein_coding
"GxE meta-analysis, day length",3,3280281,3264993,3288716,ENSBTAG00000010265,MGST3,protein_coding
"GxE meta-analysis, day length",3,3286169,3264993,3288716,ENSBTAG00000010265,MGST3,protein_coding
"GxE meta-analysis, day length",3,3286737,3264993,3288716,ENSBTAG00000010265,MGST3,protein_coding
"GxE meta-analysis, day length",3,4171284,4147294,4246502,ENSBTAG00000013801,PBX1,protein_coding
"GxE meta-analysis, day length",3,4175142,4147294,4246502,ENSBTAG00000013801,PBX1,protein_coding
"GxE meta-analysis, day length",3,4171284,4194378,4380142,ENSBTAG00000053215,,protein_coding
"GxE meta-analysis, day length",3,4175142,4194378,4380142,ENSBTAG00000053215,,protein_coding
"GxE meta-analysis, day length",3,4422500,4194378,4380142,ENSBTAG00000053215,,protein_coding
"GxE meta-analysis, day length",3,4422500,4460507,4460603,ENSBTAG00000044756,5S_rRNA,rRNA
"GxE meta-analysis, day length",3,4487797,4460507,4460603,ENSBTAG00000044756,5S_rRNA,rRNA
"GxE meta-analysis, day length",3,4487797,4476765,4481112,ENSBTAG00000054238,,protein_coding
"GxE meta-analysis, day length",3,7898879,7851912,7861112,ENSBTAG00000021754,DUSP12,protein_coding
"GxE meta-analysis, day length",3,7901214,7851912,7861112,ENSBTAG00000021754,DUSP12,protein_coding
"GxE meta-analysis, day length",3,7901794,7851912,7861112,ENSBTAG00000021754,DUSP12,protein_coding
"GxE meta-analysis, day length",3,7898879,7884632,7889585,ENSBTAG00000014580,FCRLB,protein_coding
"GxE meta-analysis, day length",3,7901214,7884632,7889585,ENSBTAG00000014580,FCRLB,protein_coding
"GxE meta-analysis, day length",3,7901794,7884632,7889585,ENSBTAG00000014580,FCRLB,protein_coding
"GxE meta-analysis, day length",3,7912223,7884632,7889585,ENSBTAG00000014580,FCRLB,protein_coding
"GxE meta-analysis, day length",3,7921752,7884632,7889585,ENSBTAG00000014580,FCRLB,protein_coding
"GxE meta-analysis, day length",3,7898879,7901534,7907964,ENSBTAG00000034159,FCRLA,protein_coding
"GxE meta-analysis, day length",3,7901214,7901534,7907964,ENSBTAG00000034159,FCRLA,protein_coding
"GxE meta-analysis, day length",3,7901794,7901534,7907964,ENSBTAG00000034159,FCRLA,protein_coding
"GxE meta-analysis, day length",3,7912223,7901534,7907964,ENSBTAG00000034159,FCRLA,protein_coding
"GxE meta-analysis, day length",3,7921752,7901534,7907964,ENSBTAG00000034159,FCRLA,protein_coding
"GxE meta-analysis, day length",3,7898879,7931201,7947765,ENSBTAG00000021842,FCGR2B,protein_coding
"GxE meta-analysis, day length",3,7901214,7931201,7947765,ENSBTAG00000021842,FCGR2B,protein_coding
"GxE meta-analysis, day length",3,7901794,7931201,7947765,ENSBTAG00000021842,FCGR2B,protein_coding
"GxE meta-analysis, day length",3,7912223,7931201,7947765,ENSBTAG00000021842,FCGR2B,protein_coding
"GxE meta-analysis, day length",3,7921752,7931201,7947765,ENSBTAG00000021842,FCGR2B,protein_coding
"GxE meta-analysis, day length",3,7898879,7932273,7932355,ENSBTAG00000048656,bta-mir-2285t,miRNA
"GxE meta-analysis, day length",3,7901214,7932273,7932355,ENSBTAG00000048656,bta-mir-2285t,miRNA
"GxE meta-analysis, day length",3,7901794,7932273,7932355,ENSBTAG00000048656,bta-mir-2285t,miRNA
"GxE meta-analysis, day length",3,7912223,7932273,7932355,ENSBTAG00000048656,bta-mir-2285t,miRNA
"GxE meta-analysis, day length",3,7921752,7932273,7932355,ENSBTAG00000048656,bta-mir-2285t,miRNA
"GxE meta-analysis, day length",3,8174932,8143059,8175606,ENSBTAG00000015856,CFAP126,protein_coding
"GxE meta-analysis, day length",3,8208143,8143059,8175606,ENSBTAG00000015856,CFAP126,protein_coding
"GxE meta-analysis, day length",3,8213109,8143059,8175606,ENSBTAG00000015856,CFAP126,protein_coding
"GxE meta-analysis, day length",3,8174932,8177617,8208058,ENSBTAG00000015853,SDHC,protein_coding
"GxE meta-analysis, day length",3,8208143,8177617,8208058,ENSBTAG00000015853,SDHC,protein_coding
"GxE meta-analysis, day length",3,8213109,8177617,8208058,ENSBTAG00000015853,SDHC,protein_coding
"GxE meta-analysis, day length",3,8231671,8177617,8208058,ENSBTAG00000015853,SDHC,protein_coding
"GxE meta-analysis, day length",3,8174932,8211117,8216095,ENSBTAG00000033835,MPZ,protein_coding
"GxE meta-analysis, day length",3,8208143,8211117,8216095,ENSBTAG00000033835,MPZ,protein_coding
"GxE meta-analysis, day length",3,8213109,8211117,8216095,ENSBTAG00000033835,MPZ,protein_coding
"GxE meta-analysis, day length",3,8231671,8211117,8216095,ENSBTAG00000033835,MPZ,protein_coding
"GxE meta-analysis, day length",3,8208143,8231447,8258195,ENSBTAG00000040512,PCP4L1,protein_coding
"GxE meta-analysis, day length",3,8213109,8231447,8258195,ENSBTAG00000040512,PCP4L1,protein_coding
"GxE meta-analysis, day length",3,8231671,8231447,8258195,ENSBTAG00000040512,PCP4L1,protein_coding
"GxE meta-analysis, day length",3,8231671,8271660,8276977,ENSBTAG00000009215,NR1I3,protein_coding
"GxE meta-analysis, day length",3,8231671,8275799,8280141,ENSBTAG00000009213,TOMM40L,protein_coding
"GxE meta-analysis, day length",3,9874711,9825348,9833376,ENSBTAG00000010670,VSIG8,protein_coding
"GxE meta-analysis, day length",3,9874711,9834671,9834832,ENSBTAG00000028229,U1,snRNA
"GxE meta-analysis, day length",3,9874711,9850404,9860647,ENSBTAG00000016698,SLAMF8,protein_coding
"GxE meta-analysis, day length",3,9874711,9870119,9891157,ENSBTAG00000017786,FCRL6,protein_coding
"GxE meta-analysis, day length",3,9874711,9912927,9914349,ENSBTAG00000004776,DUSP23,protein_coding
"GxE meta-analysis, day length",3,17960397,17924015,17931004,ENSBTAG00000055126,LCE1B,protein_coding
"GxE meta-analysis, day length",3,17975427,17924015,17931004,ENSBTAG00000055126,LCE1B,protein_coding
"GxE meta-analysis, day length",3,17960397,17938335,17945358,ENSBTAG00000052594,,protein_coding
"GxE meta-analysis, day length",3,17975427,17938335,17945358,ENSBTAG00000052594,,protein_coding
"GxE meta-analysis, day length",3,17982124,17938335,17945358,ENSBTAG00000052594,,protein_coding
"GxE meta-analysis, day length",3,17987836,17938335,17945358,ENSBTAG00000052594,,protein_coding
"GxE meta-analysis, day length",3,17990096,17938335,17945358,ENSBTAG00000052594,,protein_coding
"GxE meta-analysis, day length",3,17960397,17979807,17987542,ENSBTAG00000053743,,protein_coding
"GxE meta-analysis, day length",3,17975427,17979807,17987542,ENSBTAG00000053743,,protein_coding
"GxE meta-analysis, day length",3,17982124,17979807,17987542,ENSBTAG00000053743,,protein_coding
"GxE meta-analysis, day length",3,17987836,17979807,17987542,ENSBTAG00000053743,,protein_coding
"GxE meta-analysis, day length",3,17990096,17979807,17987542,ENSBTAG00000053743,,protein_coding
"GxE meta-analysis, day length",3,18000005,17979807,17987542,ENSBTAG00000053743,,protein_coding
"GxE meta-analysis, day length",3,18001801,17979807,17987542,ENSBTAG00000053743,,protein_coding
"GxE meta-analysis, day length",3,18006952,17979807,17987542,ENSBTAG00000053743,,protein_coding
"GxE meta-analysis, day length",3,17960397,17998705,18007361,ENSBTAG00000054620,,protein_coding
"GxE meta-analysis, day length",3,17975427,17998705,18007361,ENSBTAG00000054620,,protein_coding
"GxE meta-analysis, day length",3,17982124,17998705,18007361,ENSBTAG00000054620,,protein_coding
"GxE meta-analysis, day length",3,17987836,17998705,18007361,ENSBTAG00000054620,,protein_coding
"GxE meta-analysis, day length",3,17990096,17998705,18007361,ENSBTAG00000054620,,protein_coding
"GxE meta-analysis, day length",3,18000005,17998705,18007361,ENSBTAG00000054620,,protein_coding
"GxE meta-analysis, day length",3,18001801,17998705,18007361,ENSBTAG00000054620,,protein_coding
"GxE meta-analysis, day length",3,18006952,17998705,18007361,ENSBTAG00000054620,,protein_coding
"GxE meta-analysis, day length",3,17975427,18023519,18025249,ENSBTAG00000038237,KPRP,pseudogene
"GxE meta-analysis, day length",3,17982124,18023519,18025249,ENSBTAG00000038237,KPRP,pseudogene
"GxE meta-analysis, day length",3,17987836,18023519,18025249,ENSBTAG00000038237,KPRP,pseudogene
"GxE meta-analysis, day length",3,17990096,18023519,18025249,ENSBTAG00000038237,KPRP,pseudogene
"GxE meta-analysis, day length",3,18000005,18023519,18025249,ENSBTAG00000038237,KPRP,pseudogene
"GxE meta-analysis, day length",3,18001801,18023519,18025249,ENSBTAG00000038237,KPRP,pseudogene
"GxE meta-analysis, day length",3,18006952,18023519,18025249,ENSBTAG00000038237,KPRP,pseudogene
"GxE meta-analysis, day length",3,18000005,18046144,18052854,ENSBTAG00000054784,,lncRNA
"GxE meta-analysis, day length",3,18001801,18046144,18052854,ENSBTAG00000054784,,lncRNA
"GxE meta-analysis, day length",3,18006952,18046144,18052854,ENSBTAG00000054784,,lncRNA
"GxE meta-analysis, day length",3,18124409,18110009,18110272,ENSBTAG00000050431,,protein_coding
"GxE meta-analysis, day length",3,18143398,18110009,18110272,ENSBTAG00000050431,,protein_coding
"GxE meta-analysis, day length",3,18143398,18184104,18185905,ENSBTAG00000008700,CRCT1,protein_coding
"GxE meta-analysis, day length",3,20610209,20611449,20666228,ENSBTAG00000001586,OTUD7B,protein_coding
"GxE meta-analysis, day length",3,20680333,20611449,20666228,ENSBTAG00000001586,OTUD7B,protein_coding
"GxE meta-analysis, day length",3,20680333,20672618,20680889,ENSBTAG00000012496,MTMR11,protein_coding
"GxE meta-analysis, day length",3,20680333,20681758,20685817,ENSBTAG00000012495,SF3B4,protein_coding
"GxE meta-analysis, day length",3,20680333,20696426,20710108,ENSBTAG00000001599,SV2A,protein_coding
"GxE meta-analysis, day length",3,20680333,20713195,20714518,ENSBTAG00000006050,BOLA1,protein_coding
"GxE meta-analysis, day length",3,20680333,20720417,20725138,ENSBTAG00000040098,H2AC20,protein_coding
"GxE meta-analysis, day length",3,20680333,20724190,20724582,ENSBTAG00000032456,H2AC21,protein_coding
"GxE meta-analysis, day length",3,20680333,20724732,20748213,ENSBTAG00000050122,,protein_coding
"GxE meta-analysis, day length",3,21606252,21532899,21598565,ENSBTAG00000008131,RNF115,protein_coding
"GxE meta-analysis, day length",3,21654804,21676094,21677848,ENSBTAG00000053114,,protein_coding
"GxE meta-analysis, day length",3,21663852,21676094,21677848,ENSBTAG00000053114,,protein_coding
"GxE meta-analysis, day length",3,21664493,21676094,21677848,ENSBTAG00000053114,,protein_coding
"GxE meta-analysis, day length",3,21675080,21676094,21677848,ENSBTAG00000053114,,protein_coding
"GxE meta-analysis, day length",3,21654804,21684181,21695746,ENSBTAG00000005810,PDZK1,protein_coding
"GxE meta-analysis, day length",3,21663852,21684181,21695746,ENSBTAG00000005810,PDZK1,protein_coding
"GxE meta-analysis, day length",3,21664493,21684181,21695746,ENSBTAG00000005810,PDZK1,protein_coding
"GxE meta-analysis, day length",3,21675080,21684181,21695746,ENSBTAG00000005810,PDZK1,protein_coding
"GxE meta-analysis, day length",3,21654804,21695356,21742236,ENSBTAG00000005809,GPR89A,protein_coding
"GxE meta-analysis, day length",3,21663852,21695356,21742236,ENSBTAG00000005809,GPR89A,protein_coding
"GxE meta-analysis, day length",3,21664493,21695356,21742236,ENSBTAG00000005809,GPR89A,protein_coding
"GxE meta-analysis, day length",3,21675080,21695356,21742236,ENSBTAG00000005809,GPR89A,protein_coding
"GxE meta-analysis, day length",3,22011897,21960526,21981430,ENSBTAG00000017051,ACP6,protein_coding
"GxE meta-analysis, day length",3,22017128,21960526,21981430,ENSBTAG00000017051,ACP6,protein_coding
"GxE meta-analysis, day length",3,22011897,21969070,21969354,ENSBTAG00000043818,7SK,misc_RNA
"GxE meta-analysis, day length",3,22017128,21969070,21969354,ENSBTAG00000043818,7SK,misc_RNA
"GxE meta-analysis, day length",3,22011897,22002398,22098251,ENSBTAG00000002422,BCL9,protein_coding
"GxE meta-analysis, day length",3,22017128,22002398,22098251,ENSBTAG00000002422,BCL9,protein_coding
"GxE meta-analysis, day length",3,22096127,22002398,22098251,ENSBTAG00000002422,BCL9,protein_coding
"GxE meta-analysis, day length",3,22096755,22002398,22098251,ENSBTAG00000002422,BCL9,protein_coding
"GxE meta-analysis, day length",3,22339164,22335865,22337567,ENSBTAG00000035013,,protein_coding
"GxE meta-analysis, day length",3,22383476,22335865,22337567,ENSBTAG00000035013,,protein_coding
"GxE meta-analysis, day length",3,22339164,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22383476,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22387843,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22388486,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22389034,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22390601,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22391513,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22392768,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22395920,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22399287,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22400755,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22401592,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22403826,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22403989,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22404702,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22406809,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22408430,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22409561,22370417,22371931,ENSBTAG00000054541,,protein_coding
"GxE meta-analysis, day length",3,22339164,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22383476,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22387843,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22388486,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22389034,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22390601,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22391513,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22392768,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22395920,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22399287,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22400755,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22401592,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22403826,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22403989,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22404702,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22406809,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22408430,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22409561,22376964,22377070,ENSBTAG00000054454,U6,snRNA
"GxE meta-analysis, day length",3,22339164,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
"GxE meta-analysis, day length",3,22383476,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
"GxE meta-analysis, day length",3,22387843,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
"GxE meta-analysis, day length",3,22388486,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
"GxE meta-analysis, day length",3,22389034,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
"GxE meta-analysis, day length",3,22390601,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
"GxE meta-analysis, day length",3,22391513,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
"GxE meta-analysis, day length",3,22392768,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
"GxE meta-analysis, day length",3,22395920,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
"GxE meta-analysis, day length",3,22399287,22381862,22446397,ENSBTAG00000020831,CHD1L,protein_coding
